Name,TimeLimit,Turn,Iter
MCTS,10,25,750
M_RAVE,10,26,763
MCTS,10,26,821
M_RAVE,10,27,802
MCTS,10,27,766
M_RAVE,10,28,856
MCTS,10,28,927
M_RAVE,10,29,998
MCTS,10,29,1034
M_RAVE,10,30,1112
MCTS,10,30,1091
M_RAVE,10,31,1242
MCTS,10,31,1254
M_RAVE,10,32,1443
MCTS,10,32,1517
M_RAVE,10,33,1615
MCTS,10,33,1578
M_RAVE,10,34,1896
MCTS,10,34,1972
M_RAVE,10,35,1934
MCTS,10,35,2919
M_RAVE,10,36,3881
M_RAVE,10,1,277
MCTS,10,1,297
M_RAVE,10,2,297
MCTS,10,2,293
M_RAVE,10,3,293
MCTS,10,3,297
M_RAVE,10,4,287
MCTS,10,4,312
M_RAVE,10,5,331
MCTS,10,5,312
M_RAVE,10,6,325
MCTS,10,6,336
M_RAVE,10,7,341
MCTS,10,7,354
M_RAVE,10,8,350
MCTS,10,8,322
M_RAVE,10,9,274
MCTS,10,9,326
M_RAVE,10,10,290
MCTS,10,10,312
M_RAVE,10,11,321
MCTS,10,11,338
M_RAVE,10,12,324
MCTS,10,12,329
M_RAVE,10,13,361
MCTS,10,13,350
M_RAVE,10,14,403
MCTS,10,14,399
M_RAVE,10,15,416
MCTS,10,15,401
M_RAVE,10,16,418
MCTS,10,16,416
M_RAVE,10,17,456
MCTS,10,17,459
M_RAVE,10,18,473
MCTS,10,18,483
M_RAVE,10,19,487
MCTS,10,19,418
M_RAVE,10,20,442
MCTS,10,20,492
M_RAVE,10,21,488
MCTS,10,21,348
M_RAVE,10,22,471
MCTS,10,22,533
M_RAVE,10,23,604
MCTS,10,23,575
M_RAVE,10,24,555
MCTS,10,24,577
M_RAVE,10,25,663
MCTS,10,25,675
M_RAVE,10,26,691
MCTS,10,26,712
M_RAVE,10,27,735
MCTS,10,27,728
M_RAVE,10,28,792
MCTS,10,28,771
M_RAVE,10,29,739
MCTS,10,29,834
M_RAVE,10,30,855
MCTS,10,30,911
M_RAVE,10,31,1149
MCTS,10,31,980
M_RAVE,10,32,1233
MCTS,10,32,1113
M_RAVE,10,33,1361
MCTS,10,33,1199
M_RAVE,10,34,1481
MCTS,10,34,1646
M_RAVE,10,35,2608
MCTS,10,35,4491
M_RAVE,10,36,6216
